date,open,high,low,close,volume
2026-01-02,100,103,99,102,148000
2026-01-05,102,105,101,104,162000
2026-01-06,104,106,102,103,124000
2026-01-07,103,107,103,105,176000
2026-01-08,105,108,104,107,193000
2026-01-09,107,110,106,109,212000
2026-01-12,109,112,108,110,205000
2026-01-13,110,111,107,108,168000
2026-01-14,108,112,107,110,182000
2026-01-15,110,114,110,113,229000
2026-01-16,113,116,112,115,247000
2026-01-19,115,116,112,113,191000
2026-01-20,113,117,113,116,221000
2026-01-21,116,119,115,118,254000
2026-01-22,118,119,114,116,210000
2026-01-23,116,117,113,114,177000
2026-01-26,114,115,111,112,158000
2026-01-27,112,116,112,115,182000
2026-01-28,115,116,112,113,166000
2026-01-29,113,114,109,110,194000
2026-01-30,110,111,107,108,184000
2026-02-02,108,109,105,106,162000
2026-02-03,106,110,106,109,178000
2026-02-04,109,110,106,107,151000
2026-02-05,107,108,103,105,168000
2026-02-06,105,106,101,102,205000
2026-02-09,102,103,99,100,238000
2026-02-10,100,104,100,103,212000
2026-02-11,103,104,99,101,196000
2026-02-12,101,102,98,99,221000
2026-02-13,99,100,94,96,287000
2026-02-16,96,97,93,94,265000
2026-02-17,94,98,94,97,221000
2026-02-18,97,98,93,95,198000
2026-02-19,95,100,95,99,212000
2026-02-20,99,103,99,102,228000
2026-02-23,102,106,102,105,196000
2026-02-24,105,109,104,108,217000
2026-02-25,108,107,103,106,184000
2026-02-26,106,111,106,110,239000
2026-02-27,110,114,110,113,254000
2026-03-02,113,116,112,115,221000
2026-03-03,115,114,111,113,176000
2026-03-04,113,117,113,116,205000
2026-03-05,116,120,116,119,247000
2026-03-06,119,122,118,121,268000
2026-03-09,121,121,116,118,191000
2026-03-10,118,123,118,122,233000
2026-03-11,122,126,122,125,279000
2026-03-12,125,124,121,123,182000
2026-03-13,123,127,123,126,242000
2026-03-16,126,125,121,124,198000
2026-03-17,124,128,124,127,229000
2026-03-18,127,131,127,130,268000
2026-03-19,130,131,126,128,221000
2026-03-20,128,127,123,125,202000
2026-03-23,125,124,120,122,193000
2026-03-24,122,125,121,124,184000
2026-03-25,124,128,124,127,229000
2026-03-26,127,131,127,130,247000
2026-03-27,130,134,130,132,287000
